ITEM,NOMBRE COMEDOR,COORDENADAS,CUPOS,NICHO,NODO,COMUNA,COMUNA RUTA,DIA ENTREGA
614,COMEDOR FUDECAFRO SEDE II,3.3785866,-76.5457768,0,2,11,18,18,6
632,COMIDA CON AMOR,3.441169, -76.477447,60,15,6,21,21,7
615,COMIENDO VAMOS CRECIENDO,3.424894, -76.464006,100,15,2,21,21,7
20,COMIENDO Y SONRIENDO,3.466983, -76.525150,80,3,1,2,2,1
422,COMO CRISTO TE AMA Y TE QUIERE SALVAR,3.413521, -76.483918,150,10,1,15,15,5
782,COMO LA MADRE DE UNO,3.42675, -76.4627778,50,15,3,21,21,7
621,COMPARTIR A LAS NACIONES,3.439715, -76.472842,80,15,5,21,21,7
617,COMPARTIR AMOR A CUCHARADAS,3.431734, -76.464652,80,15,4,21,21,7
675,COMPARTIR EL MANA DEL REY,3.430270, -76.468664,80,15,4,21,21,7
94,CON AMOR Y CORAZON,3.459977, -76.487336,70,3,5,7,7,2
336,CON DIOS TODO SE PUEDE,3.424172, -76.472088,50,6,4,14,14,4
397,CONQUISTANDO SONRISAS,3.4171389,-76.4880278,100,10,3,15,15,5
5,CONSTRUCTORES DE PAZ,3.454043, -76.574628,100,1,1,1,1,1
276,CONSTRUYENDO FUTURO 2,3.420117, -76.480114,70,7,2,14,14,4
366,CONSTRUYENDO SONRISAS,3.419148, -76.466189,100,15,2,15,15,5
693,CONSTRUYENDO VIDAS,3.407803, -76.468556,100,1,14,21,21,6
780,COOMOSTAZA,3.427831, -76.482018,50,7,2,14,14,4
255,CORAZON AGRADECIDO,3.422437, -76.467942,80,6,3,14,14,4
542,CORAZON CONTENTO,3.446011, -76.553465,60,1,5,19,19,3
671,CORAZON CONTENTO INVICALI,3.420071, -76.468800,80,6,5,21,21,7
389,CORAZON DE CAMPEON,3.450804, -76.524267,80,2,9,3,12,2
630,CORAZON DE JESUS,3.398598, -76.466321,100,5,14,51,51,6
153,CORAZON GUERRERO,3.428470, -76.509427,80,4,3,11,11,2
638,CORAZON Y VIDA,3.434811, -76.472281,50,15,5,21,21,7
634,CORAZONES CONTENTOS TALLER,3.402172, -76.469476,100,5,14,21,21,6
